code,trade_date,open,high,low,close,volume,amount,adj_factor,limit_up,limit_down,is_paused,pre_close,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,ret_1d,rsi14,ema12,ema26,macd_dif,macd_dea,macd_hist,boll_mid,boll_std,boll_upper,boll_lower,boll_percent_b,boll_bandwidth,kdj_rsv9,kdj_k,kdj_d,kdj_j
603466.SH,20250916,9.84,10.03,9.79,10.02,13330837.0,132109384.15,1.0,,,False,9.85,9.84,10.03,9.79,10.02,9.85,0.01725888324873104,42.31495628811126,10.078770621978864,10.286405940811134,-0.2076353188322706,-0.16512171666859943,-0.04251360216367117,10.371500000000001,0.4999627486123397,11.371425497224681,9.37157450277532,0.324236905161635,0.1928217706647409,90.69767441860444,50.06739487547388,33.59344052805466,83.01530357031231
603466.SH,20250917,10.14,10.2,10.01,10.04,16122325.0,162744460.42,1.0,,,False,10.02,10.14,10.2,10.01,10.04,10.02,0.001996007984031989,42.95405878016425,10.072805910905192,10.2681536488992,-0.19534773799400718,-0.171166920933681,-0.024180817060326182,10.327,0.48773045834764567,11.302460916695292,9.351539083304708,0.35289005685009317,0.18891467351511418,70.90909090909082,57.01462688667953,41.400502647596284,88.24287536484601
603466.SH,20250918,10.05,10.16,9.82,9.96,16201211.0,162663593.38,1.0,,,False,10.04,10.05,10.16,9.82,9.96,10.04,-0.007968127490039723,40.99742933196657,10.055451155381316,10.245327452684444,-0.18987629730312783,-0.17490879620757038,-0.014967501095557445,10.2775,0.47197325136071355,11.221446502721427,9.333553497278572,0.33182309639124863,0.18369185166070107,56.363636363636566,56.79763004566521,46.532878446952594,77.32713324309043
603466.SH,20250919,9.9,10.0,9.8,9.88,10336931.0,102087215.62,1.0,,,False,9.96,9.9,10.0,9.8,9.88,9.96,-0.008032128514056214,39.0803187721569,10.028458669938036,10.218266159893004,-0.18980748995496732,-0.1778885349570498,-0.011918954997917536,10.223,0.4513435498597514,11.125687099719503,9.320312900280499,0.31001168616091745,0.17659925652342798,41.818181818181976,51.80448063650414,48.29007917680311,58.83328355590619
603466.SH,20250922,9.82,9.85,9.67,9.77,10267412.0,100006117.89,1.0,,,False,9.88,9.82,9.85,9.67,9.77,9.88,-0.011133603238866474,36.54950922158722,9.988695797639878,10.185061259160188,-0.1963654615203101,-0.18158392026970185,-0.014781541250608238,10.155,0.410140219924845,10.975280439849689,9.33471956015031,0.26532416153276295,0.1615520314819674,21.818181818181717,41.809047697063335,46.12973535022319,33.16767239074362
603466.SH,20250923,9.76,9.76,9.32,9.59,14571435.0,138156636.09,1.0,,,False,9.77,9.76,9.76,9.32,9.59,9.77,-0.01842374616171949,32.80568862712249,9.927357982618359,10.140982647370544,-0.2136246647521851,-0.1879920691661985,-0.0256325955859866,10.0735,0.34759567028373395,10.768691340567468,9.37830865943253,0.1522540113881961,0.13802379323322952,30.68181818181817,38.099971191981616,43.45314729747601,27.39361898099284
603466.SH,20250924,9.52,9.7,9.42,9.67,10738002.0,103420947.47,1.0,,,False,9.59,9.52,9.7,9.42,9.67,9.59,0.008342022940563076,35.94606333216082,9.88776444683092,10.106095043861615,-0.21833059703069502,-0.19405977473909783,-0.02427082229159719,10.014,0.30739876382314385,10.628797527646286,9.399202472353712,0.22023309745813271,0.12278760288521809,39.77272727272728,38.657556552230176,41.854617049060735,32.26343555856906
603466.SH,20250925,9.68,10.07,9.61,9.86,19229034.0,190534668.22,1.0,,,False,9.67,9.68,10.07,9.61,9.86,9.67,0.01964839710444677,42.78526135912602,9.883492993472316,10.087865781353347,-0.20437278788103086,-0.19612237736748445,-0.008250410513546413,9.9635,0.23768203550120467,10.43886407100241,9.48813592899759,0.39113607199872324,0.09542110121993477,61.36363636363634,46.226249822698904,43.311827973606796,52.05509352088313
603466.SH,20250926,9.81,9.86,9.62,9.7,9759595.0,95058452.11,1.0,,,False,9.86,9.81,9.86,9.62,9.7,9.86,-0.016227180527383367,39.00810256161632,9.855263302168883,10.05913498273458,-0.2038716805656975,-0.19767223800712708,-0.006199442558570412,9.9185,0.1941204522970081,10.306740904594015,9.530259095405984,0.21860255138689386,0.07828621355931147,43.181818181818116,45.21143927573864,43.94503174098408,47.744254345247754
603466.SH,20250929,9.24,9.37,8.94,9.34,25167744.0,231215361.0,1.0,,,False,9.7,9.24,9.37,8.94,9.34,9.7,-0.03711340206185565,32.13416901349012,9.775992024912131,10.00586572475424,-0.22987369984210915,-0.2041125303741235,-0.02576116946798565,9.8585,0.17749014057122642,10.213480281142452,9.503519718857547,-0.23032225667758532,0.07201506946136892,31.74603174603178,40.722970099169686,42.87101119371262,36.42688791008382
603466.SH,20250930,9.37,9.45,9.3,9.34,10693073.0,100111536.65,1.0,,,False,9.34,9.37,9.45,9.3,9.34,9.34,0.0,32.13416901349012,9.708916328771803,9.956542337735408,-0.24762600896360532,-0.21281522609201986,-0.034810782871585455,9.818499999999998,0.19845087553344976,10.215401751066898,9.4215982489331,-0.1027940147829505,0.08084773663327374,32.78688524590165,38.07760848141368,41.273210289612976,31.686404865015078
603466.SH,20251009,9.3,9.49,9.2,9.45,13072108.0,122546320.38,1.0,,,False,9.34,9.3,9.49,9.2,9.45,9.34,0.011777301927194728,36.123077207437944,9.669083047422294,9.919020683088341,-0.249937635666047,-0.2202397080068253,-0.02969792765922169,9.797,0.2133565091577763,10.223713018315554,9.370286981684448,0.09340354628764118,0.08711095607135919,45.13274336283181,40.42932010855306,40.991913562593005,39.30413320047316
603466.SH,20251010,9.43,9.49,9.35,9.41,8039492.0,75792638.72,1.0,,,False,9.45,9.43,9.49,9.35,9.41,9.45,-0.004232804232804144,35.31032789674711,9.629224117049633,9.88131544730402,-0.25209133025438746,-0.22661003245633773,-0.025481297798049724,9.7775,0.22940956823984443,10.236319136479688,9.318680863520312,0.09951539639381526,0.09385203507638723,41.59292035398233,40.81718685702948,40.933671327405165,40.58421791627812
603466.SH,20251013,9.14,9.34,9.06,9.3,9610539.0,88699772.39,1.0,,,False,9.41,9.14,9.34,9.06,9.3,9.41,-0.011689691817215686,33.10447783063877,9.578574252888151,9.838255043800018,-0.259680790911867,-0.23322418414744361,-0.026456606764423407,9.744,0.24709107632610094,10.238182152652202,9.249817847347797,0.05077293097583867,0.10143311836046846,31.858407079646103,37.83092693123503,39.899423195348454,33.69393440300817
